VendorName,PurchasePrice
AAPER ALCOHOL & CHEMICAL CO,105.07
ALISA CARR BEVERAGES           ,98.81031746031746
R.P.IMPORTS INC            ,42.20041095890411
ALTAMAR BRANDS LLC         ,35.27280701754386
EDRINGTON AMERICAS         ,33.597710775314226
VINEYARD BRANDS LLC        ,31.288260869565217
CALEDONIA SPIRITS INC      ,31.119832699619774
REMY COINTREAU USA INC     ,30.568376756671405
MOET HENNESSY USA INC      ,29.689921460628312
MARSALLE COMPANY           ,27.50803628601921
WILLIAM GRANT & SONS INC   ,25.688422823496424
VINEDREA WINES LLC         ,22.72
ATLANTIC IMPORTING COMPANY ,22.49187969924812
BULLY BOY DISTILLERS       ,22.004089068825913
SMOKY QUARTZ DISTILLERY LLC,21.82297101449275
TALL SHIP DISTILLERY LLC   ,21.43460966542751
STARK BREWING COMPANY      ,21.42
SWEETWATER FARM         ,21.097785234899327
TAMWORTH DISTILLING        ,20.88124183006536
"HOOD RIVER DISTILLERS, Inc.",20.68481927710843
DJINN SPIRITS LLC          ,19.338258928571427
PERNOD RICARD USA          ,18.605831134074265
"IRA GOLDMAN AND WILLIAMS, LLP          ",18.583076923076923
BROWN-FORMAN CORP          ,18.29849777404452
VRANKEN AMERICA            ,17.097593643586833
FLAVOR ESSENCE INC         ,17.0
WEIN BAUER INC             ,16.942064676616912
"STOLI GROUP,(USA) LLC      ",16.864493090710084
NICHE W & S                ,16.571154822335025
MHW LTD                    ,16.544299360769948
ADAMBA IMPORTS INTL INC    ,16.230878594249198
DISARONNO INTERNATIONAL LLC,16.20870798012277
DIAGEO NORTH AMERICA INC   ,16.10717112022554
KLIN SPIRITS LLC           ,16.097123595505618
STAR INDUSTRIES INC.       ,15.90764705882353
ULTRA BEVERAGE COMPANY LLP ,15.810002379989053
CASTLE BRANDS CORP.        ,15.756810653918388
BLACK COVE BEVERAGES       ,15.740000000000002
CAMPARI AMERICA            ,15.608735588009223
SOUTHERN GLAZERS W&S OF NE ,15.433854166666668
FLAG HILL WINERY & VINEYARD,15.42556330472103
PARK STREET IMPORTS LLC    ,15.253445945945945
HIGHLAND WINE MERCHANTS LLC,15.225
SEA BREEZE CELLARS LLC     ,14.93959390862944
PREMIER DISTRIBUTORS       ,14.910987791342954
Serralles Usa LLC          ,14.83107355864811
DUGGANS DISTILLED PRODUCTS ,14.760224538893343
SIDNEY FRANK IMPORTING CO  ,14.52981144934121
MARTIGNETTI COMPANIES ,14.387993197278911
BACARDI USA INC            ,14.256138971757073
BLACK ROCK SPIRITS LLC     ,14.049999999999999
Dunn Wine Brokers          ,14.010479233226837
CANDIA VINEYARDS           ,13.883628318584073
CAPSTONE INTERNATIONAL     ,13.66
PROXIMO SPIRITS INC.       ,13.614282981357139
Russian Standard Vodka     ,13.450226928895614
Circa Wines                ,13.109098712446352
TY KU LLC                  ,13.107091633466135
JIM BEAM BRANDS COMPANY    ,12.880279562982006
SEA HAGG DISTILLERY LLC    ,12.848402366863905
WESTERN SPIRITS BEVERAGE CO,12.819943805191329
PHILLIPS PRODUCTS CO.      ,12.504920698654889
FABRIZIA SPIRITS LLC       ,12.441819656179046
CRUSH WINES                ,12.39818093385214
UNCORKED       ,12.386875
PERFECTA WINES             ,12.378172622670494
KOBRAND CORPORATION        ,12.357903472931563
FULCHINO VINEYARD INC      ,11.776891891891893
VINEXTRA INC               ,11.682683229813664
LAIRD & CO                 ,11.531717583163612
WALPOLE MTN VIEW WINERY    ,11.52918918918919
FREDERICK WILDMAN & SONS   ,11.46465528894897
LABELLE VYDS AND WINERY    ,11.385788973384031
THE PIERPONT GROUP LLC     ,11.363709677419354
MARTIGNETTI COMPANIES,11.075877373404275
STATE WINE & SPIRITS   ,11.007560932842365
MCCORMICK DISTILLING CO    ,10.868016304347826
HEAVEN HILL DISTILLERIES   ,10.460230204030147
GILMANTON WINERY & VINEYARD,10.451627906976745
APPOLO VINEYARDS LLC       ,10.435
SHAW ROSS INT L IMP LTD    ,10.40605482717521
FORTUNE WINE BROKERS LLC   ,10.363333333333335
SOUTHERN WINE & SPIRITS NE ,10.153071772897697
SAZERAC CO INC             ,10.054367313740375
AMERICAN VINTAGE BEVERAGE  ,9.896587591240875
TRUETT HURST               ,9.86
LUXCO INC                  ,9.741419379258137
DELICATO VINEYARDS INC     ,9.725495714285714
LOYAL DOG WINERY           ,9.67
PINE STATE TRADING CO      ,9.45215090841676
VINILANDIA USA             ,9.366863566233194
AMERICAN SPIRITS EXCHANGE  ,9.18
OLE SMOKY DISTILLERY LLC   ,9.153028933092225
MOONLIGHT MEADERY          ,8.963788546255508
INCREDIBREW INC            ,8.807012987012987
SURVILLE ENTERPRISES CORP  ,8.789880239520958
M S WALKER INC             ,8.68066999432584
CHARLES JACQUIN ET CIE INC ,8.510146646538711
SWEET BABY VINEYARD        ,8.363941134242642
CENTEUR IMPORTS LLC        ,8.35588785046729
MAJESTIC FINE WINES        ,8.22628882532992
JEWELL TOWNE VINEYARDS     ,8.190893470790378
ZORVINO VINEYARDS          ,8.176139954853273
HAUNTING WHISPER VYDS      ,8.069827586206896
PALM BAY INTERNATIONAL INC ,7.775669917864476
STE MICHELLE WINE ESTATES  ,7.769933741983489
POVERTY LANE ORCHARDS      ,7.713468085106383
SAZERAC NORTH AMERICA INC. ,7.692053707827943
STELLAR IMPORTING CO LLC   ,7.677066666666667
PSP WINES ,7.569661277906081
VINEYARD BRANDS INC        ,7.507742096091611
BLACK PRINCE DISTILLERY INC,7.4547058823529415
BANFI PRODUCTS CORP        ,7.386992769034454
"PREMIUM PORT WINES, INC.   ",7.357037572254335
DIAGEO CHATEAU ESTATE WINES,7.347215927484623
E & J GALLO WINERY         ,7.2583027305664745
THE IMPORTED GRAPE LLC     ,7.23046875
MANGO BOTTLING INC         ,7.2007830188679245
TAKARA SAKE USA INC        ,7.194843962008141
WINE GROUP INC             ,7.186432623979794
CONSTELLATION BRANDS INC   ,7.096472889521162
MILTONS DISTRIBUTING CO    ,6.814782608695652
TRINCHERO FAMILY ESTATES   ,6.232757356256199
TREASURY WINE ESTATES      ,6.098832092929699
LATITUDE BEVERAGE COMPANY  ,5.968420351624934
FANTASY FINE WINES CORP    ,5.36
BRONCO WINE COMPANY        ,5.227142857142857
LAUREATE IMPORTS CO        ,4.86
SILVER MOUNTAIN CIDERS     ,4.54
