VendorName,Dollars
DIAGEO NORTH AMERICA INC   ,50959796.85
MARTIGNETTI COMPANIES,27821473.91
JIM BEAM BRANDS COMPANY    ,24203151.05
PERNOD RICARD USA          ,24124091.56
BACARDI USA INC            ,17624378.72
CONSTELLATION BRANDS INC   ,15573917.9
BROWN-FORMAN CORP          ,13529433.08
ULTRA BEVERAGE COMPANY LLP ,13210613.93
E & J GALLO WINERY         ,12289608.09
M S WALKER INC             ,10935817.3
SAZERAC CO INC             ,9916770.26
MOET HENNESSY USA INC      ,9472995.2
PROXIMO SPIRITS INC.       ,7588029.9
WILLIAM GRANT & SONS INC   ,5960744.35
PERFECTA WINES             ,5665501.53
WINE GROUP INC             ,5258636.79
CAMPARI AMERICA            ,4141720.71
SOUTHERN WINE & SPIRITS NE ,3699813.46
"STOLI GROUP,(USA) LLC      ",3666478.72
SAZERAC NORTH AMERICA INC. ,3537977.55
MAJESTIC FINE WINES        ,3506668.63
REMY COINTREAU USA INC     ,3354958.2800000003
PINE STATE TRADING CO      ,3129071.59
STE MICHELLE WINE ESTATES  ,3086650.7
TREASURY WINE ESTATES      ,2978686.4
HEAVEN HILL DISTILLERIES   ,2816661.94
PALM BAY INTERNATIONAL INC ,2693984.33
TRINCHERO FAMILY ESTATES   ,2252211.31
LUXCO INC                  ,2051436.01
MHW LTD                    ,1888333.01
EDRINGTON AMERICAS         ,1882832.84
KOBRAND CORPORATION        ,1808146.33
SIDNEY FRANK IMPORTING CO  ,1715908.8800000001
CASTLE BRANDS CORP.        ,1679383.91
BANFI PRODUCTS CORP        ,1628866.68
DELICATO VINEYARDS INC     ,1561444.6300000001
STATE WINE & SPIRITS   ,1529682.04
DIAGEO CHATEAU ESTATE WINES,1365472.83
VINEYARD BRANDS INC        ,1196162.81
DISARONNO INTERNATIONAL LLC,1141947.85
FREDERICK WILDMAN & SONS   ,759449.24
SHAW ROSS INT L IMP LTD    ,624979.64
VINILANDIA USA             ,548855.37
PHILLIPS PRODUCTS CO.      ,430945.89
OLE SMOKY DISTILLERY LLC   ,387622.69
WESTERN SPIRITS BEVERAGE CO,361249.21
FABRIZIA SPIRITS LLC       ,358390.62
CHARLES JACQUIN ET CIE INC ,329637.62
LATITUDE BEVERAGE COMPANY  ,316446.76
MCCORMICK DISTILLING CO    ,310552.87
FLAG HILL WINERY & VINEYARD,300403.2
CRUSH WINES                ,287189.9
CALEDONIA SPIRITS INC      ,259604.7
VRANKEN AMERICA            ,208330.15
MANGO BOTTLING INC         ,204510.38
LAIRD & CO                 ,203011.58
SEA HAGG DISTILLERY LLC    ,188044.46
MARSALLE COMPANY           ,185311.19
DUGGANS DISTILLED PRODUCTS ,184296.5
Serralles Usa LLC          ,168993.61
AMERICAN VINTAGE BEVERAGE  ,156357.28
LABELLE VYDS AND WINERY    ,146839.55
SWEET BABY VINEYARD        ,140577.9
Russian Standard Vodka     ,138907.27
PSP WINES ,128895.69
BULLY BOY DISTILLERS       ,117928.22
NICHE W & S                ,111031.77
SEA BREEZE CELLARS LLC     ,108948.09
KLIN SPIRITS LLC           ,103484.29
VINEXTRA INC               ,102639.51
ZORVINO VINEYARDS          ,86122.71
PREMIER DISTRIBUTORS       ,84530.87
ADAMBA IMPORTS INTL INC    ,76770.25
Dunn Wine Brokers          ,72055.3
MOONLIGHT MEADERY          ,71357.59
SMOKY QUARTZ DISTILLERY LLC,69803.71
PARK STREET IMPORTS LLC    ,69459.42
"PREMIUM PORT WINES, INC.   ",59760.740000000005
JEWELL TOWNE VINEYARDS     ,54332.37
SURVILLE ENTERPRISES CORP  ,51325.77
DJINN SPIRITS LLC          ,48830.78
TALL SHIP DISTILLERY LLC   ,48445.58
FORTUNE WINE BROKERS LLC   ,46940.17
TAKARA SAKE USA INC        ,45289.34
POVERTY LANE ORCHARDS      ,45269.01
WEIN BAUER INC             ,43517.0
Circa Wines                ,42554.34
ATLANTIC IMPORTING COMPANY ,41116.32
TAMWORTH DISTILLING        ,41036.44
SOUTHERN GLAZERS W&S OF NE ,40803.92
MARTIGNETTI COMPANIES ,40216.11
TY KU LLC                  ,38921.47
CANDIA VINEYARDS           ,36588.01
ALISA CARR BEVERAGES           ,34951.68
SWEETWATER FARM         ,34708.03
STARK BREWING COMPANY      ,25961.04
STELLAR IMPORTING CO LLC   ,24560.08
INCREDIBREW INC            ,24525.84
"HOOD RIVER DISTILLERS, Inc.",24035.96
R.P.IMPORTS INC            ,18776.87
THE IMPORTED GRAPE LLC     ,16093.77
BLACK COVE BEVERAGES       ,14465.06
ALTAMAR BRANDS LLC         ,11706.199999999999
FULCHINO VINEYARD INC      ,11147.77
VINEYARD BRANDS LLC        ,10951.51
WALPOLE MTN VIEW WINERY    ,9292.31
CENTEUR IMPORTS LLC        ,6237.08
BLACK PRINCE DISTILLERY INC,5971.94
THE PIERPONT GROUP LLC     ,5713.19
"IRA GOLDMAN AND WILLIAMS, LLP          ",5630.88
HIGHLAND WINE MERCHANTS LLC,5500.32
GILMANTON WINERY & VINEYARD,5393.04
HAUNTING WHISPER VYDS      ,5388.58
VINEDREA WINES LLC         ,4657.6
UNCORKED       ,2966.31
STAR INDUSTRIES INC.       ,2452.29
APPOLO VINEYARDS LLC       ,2399.7
LOYAL DOG WINERY           ,2320.8
BRONCO WINE COMPANY        ,2071.9
MILTONS DISTRIBUTING CO    ,1824.18
AMERICAN SPIRITS EXCHANGE  ,1205.16
BLACK ROCK SPIRITS LLC     ,1152.1
TRUETT HURST               ,236.64
LAUREATE IMPORTS CO        ,140.94
FANTASY FINE WINES CORP    ,128.64
AAPER ALCOHOL & CHEMICAL CO,105.07
SILVER MOUNTAIN CIDERS     ,77.17999999999999
CAPSTONE INTERNATIONAL     ,54.64
FLAVOR ESSENCE INC         ,17.0
